"ano","n_respondentes","taxa_resposta","media_verdadeira","media_simples","media_peso","media_regressao","vies_simples","vies_regressao","decada"
1975,216,0.72,224.905953899898,227.755640602931,227.755640602931,224.034592710946,2.849686703033,-0.871361188951823,1970
1976,207,0.69,225.333342824208,230.462735283121,230.462735283121,225.089655038397,5.12939245891258,-0.243687785810437,1970
1977,192,0.64,226.661210829635,232.470090936121,232.470090936121,227.093122191224,5.8088801064857,0.431911361589101,1970
1978,200,0.666666666666667,226.87940099725,230.290026756995,230.290026756995,227.192973641973,3.41062575974487,0.313572644723791,1970
1979,188,0.626666666666667,227.225437562296,226.715183013189,226.715183013189,228.707248819261,-0.510254549106889,1.48181125696505,1970
1980,198,0.66,227.889886683046,229.553919098758,229.553919098758,228.582154380901,1.6640324157114,0.692267697854277,1980
1981,193,0.643333333333333,229.12270554882,227.347030912567,227.347030912567,229.33001863097,-1.77567463625218,0.207313082150563,1980
1982,199,0.663333333333333,227.964878244641,228.103811076673,228.103811076673,228.253111618754,0.138932832031941,0.288233374113446,1980
1983,190,0.633333333333333,229.353555602325,229.408390229964,229.408390229964,229.859194143509,0.0548346276392522,0.505638541184624,1980
1984,188,0.626666666666667,229.388425731785,227.905418554125,227.905418554125,229.929917504497,-1.48300717766003,0.54149177271205,1980
1985,193,0.643333333333333,229.53784358225,231.116897136532,231.116897136532,230.629096312404,1.57905355428204,1.09125273015437,1980
1986,183,0.61,230.271426983172,230.981816583888,230.981816583888,230.992236283602,0.710389600715615,0.720809300430091,1980
1987,179,0.596666666666667,230.687716902842,228.652881153512,228.652881153512,231.445728830734,-2.03483574932991,0.75801192789271,1980
1988,180,0.6,232.841183835954,235.271644221249,235.271644221249,231.760004084979,2.43046038529559,-1.08117975097471,1980
1989,166,0.553333333333333,231.372011665995,238.855470992193,238.855470992193,231.580601144038,7.48345932619858,0.208589478043194,1980
1990,169,0.563333333333333,232.797574812227,228.74042554156,228.74042554156,233.686658572706,-4.057149270667,0.889083760479537,1990
1991,169,0.563333333333333,233.599158318164,237.820394456365,237.820394456365,232.359753828026,4.22123613820182,-1.2394044901379,1990
1992,179,0.596666666666667,233.500199784854,235.362019436978,235.362019436978,233.868167106212,1.86181965212319,0.367967321357668,1990
1993,156,0.52,234.476346430892,240.231503903861,240.231503903861,234.864301585918,5.7551574729691,0.387955155025907,1990
1994,169,0.563333333333333,234.155664813867,233.272776436587,233.272776436587,233.987532947683,-0.882888377280466,-0.168131866184353,1990
1995,155,0.516666666666667,234.682476623826,242.656088869992,242.656088869992,235.836137088946,7.97361224616577,1.15366046511963,1990
1996,157,0.523333333333333,234.584020791908,238.986751162194,238.986751162194,234.408806570069,4.40273037028649,-0.175214221838928,1990
1997,149,0.496666666666667,235.781552954709,238.108852357692,238.108852357692,237.479552618764,2.32729940298282,1.697999664055,1990
1998,146,0.486666666666667,235.944345398935,238.212882502624,238.212882502624,236.321972200155,2.26853710368943,0.377626801220657,1990
1999,146,0.486666666666667,236.852733707039,240.446488457775,240.446488457775,237.631244710955,3.59375475073659,0.778511003916805,1990
2000,158,0.526666666666667,238.010515782283,239.592743174633,239.592743174633,237.893999623641,1.58222739234927,-0.116516158642696,2000
2001,135,0.45,238.903535769883,236.862371843964,236.862371843964,238.661556652715,-2.04116392591811,-0.241979117167546,2000
2002,147,0.49,238.726500072226,240.655145814356,240.655145814356,238.419016311311,1.92864574213016,-0.307483760914806,2000
2003,147,0.49,240.002518608451,236.315441216987,236.315441216987,238.583818697396,-3.68707739146461,-1.41869991105477,2000
2004,124,0.413333333333333,238.426684173767,239.641239633072,239.641239633072,238.389534219471,1.21455545930471,-0.0371499542964386,2000
2005,126,0.42,240.181594809323,242.131866873195,242.131866873195,239.712325340518,1.95027206387169,-0.469269468805777,2000
2006,118,0.393333333333333,240.388061697107,245.967236952916,245.967236952916,240.966117710522,5.57917525580871,0.578056013414852,2000
2007,119,0.396666666666667,240.638928805534,245.969868633956,245.969868633956,241.369448209535,5.33093982842252,0.730519404000574,2000
2008,112,0.373333333333333,240.89146368038,239.673758840479,239.673758840479,241.032630372683,-1.21770483990073,0.141166692303301,2000
2009,108,0.36,241.681251612309,240.640492732396,240.640492732396,241.238037471816,-1.0407588799126,-0.443214140492415,2000
2010,120,0.4,242.994496336183,242.892136724437,242.892136724437,242.362388774774,-0.102359611746124,-0.632107561408816,2010
2011,109,0.363333333333333,241.78001922966,243.889458818202,243.889458818202,242.916974183741,2.10943958854151,1.13695495408061,2010
2012,109,0.363333333333333,243.28931821776,238.505009511022,238.505009511022,241.971254289361,-4.7843087067381,-1.31806392839931,2010
2013,119,0.396666666666667,244.776455939042,243.896095689703,243.896095689703,243.875105311412,-0.880360249339105,-0.901350627629796,2010
2014,99,0.33,244.415994989506,245.268411977991,245.268411977991,244.936961914992,0.852416988484578,0.520966925485709,2010
2015,100,0.333333333333333,245.86119251659,245.590507191627,245.590507191627,246.177049153291,-0.270685324963864,0.315856636700403,2010
2016,90,0.3,246.513801648385,249.761865699736,249.761865699736,244.916271352013,3.24806405135053,-1.5975302963719,2010
2017,91,0.303333333333333,245.453279883835,241.849108130761,241.849108130761,243.824366671277,-3.60417175307376,-1.62891321255776,2010
2018,95,0.316666666666667,246.983479614186,244.800450852629,244.800450852629,247.397761624939,-2.18302876155724,0.414282010752885,2010
2019,70,0.233333333333333,247.360052970125,240.461065220922,240.461065220922,247.356959619714,-6.89898774920252,-0.00309335041004033,2010
2020,84,0.28,248.302173266312,251.098849667402,251.098849667402,247.72282628888,2.79667640108963,-0.579346977432294,2020
2021,95,0.316666666666667,248.241506587026,250.599879738117,250.599879738117,248.382203813483,2.35837315109057,0.140697226456922,2020
2022,75,0.25,247.672184259183,244.66351774398,244.66351774398,247.481143523237,-3.00866651520295,-0.191040735945649,2020
2023,79,0.263333333333333,249.122365854314,248.857240446271,248.857240446271,248.347541842473,-0.26512540804373,-0.774824011841247,2020
2024,73,0.243333333333333,249.613925590492,248.499266552129,248.499266552129,249.28939304134,-1.11465903836245,-0.32453254915157,2020
2025,85,0.283333333333333,250.202974186434,261.048816011745,261.048816011745,251.315232929299,10.845841825311,1.11225874286504,2020
